,wallet_name,wallet_balance,network,wallet_address,price_usd,balance_usd,update_time
86,SAND,119851628.09,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.4023330875005139,48220275.57141302,2023-06-28 17:12:09
87,WBTC,1559.27,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,30323.910651231643,47283164.16114596,2023-06-28 17:11:43
88,LTC,513259.29,Litecoin,MB8nnFMvR5cgvpzQ1QXTDVfUM91BcsLH3k,83.96661681005577,43096646.127631284,2023-06-28 17:20:13
89,LDO,23000000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,1.871755580893383,43050378.36054781,2023-06-28 17:12:09
90,USDT,41903412.29,Polygon,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,0.9998867436501655,41898666.46247842,2023-06-28 17:22:03
91,BUSD,40820521.35,Ethereum,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1.0000220806453701,40821422.693455756,2023-06-28 17:11:24
92,MAGIC,47803059.0,Arbitrum,0xf977814e90da44bfa03b6295a0616a897441acec,0.8347536728333024,39903779.07291705,2023-06-28 17:27:13
93,MANA,104004318.99,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.36416734751310303,37874976.976494946,2023-06-28 17:11:13
94,USDC,37481303.89,Polygon,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,1.000072916375962,37484036.89084599,2023-06-28 17:22:03
95,AAVE,600000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,61.58981890963389,36953891.345780335,2023-06-28 17:11:52
96,FTM,125500000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.29316637195643147,36792379.68053215,2023-06-28 17:12:09
97,BTT,78020039737621.19,Tron20,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,4.6798715930017663e-07,36512376.765296236,2023-06-28 17:26:10
98,TKO,137000000.0,BNB Smart Chain (BEP20),0xf977814e90da44bfa03b6295a0616a897441acec,0.24681731786391442,33813972.54735628,2023-06-28 17:16:06
99,TUSD,33562337.0,Tron20,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,0.9990090878898832,33529079.67382288,2023-06-28 17:26:05
100,HOT,24872145137.82,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.0013344934632644686,33191715.103785925,2023-06-28 17:11:13
101,MANA,90000000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.36416734751310303,32775061.276179273,2023-06-28 17:11:52
102,QNT,299438.45,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,105.646923492289,31634751.01779961,2023-06-28 17:12:09
103,TWT,36033766.0,BNB Beacon Chain (BEP2),bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,0.8705771178173792,31370172.148385875,2023-06-28 17:19:08
104,USDC,31195708.18,Ethereum,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1.000072916375962,31197982.857986055,2023-06-28 17:11:24
105,ETH,16812.57,BNB Beacon Chain (BEP2),bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,1848.2481313052924,31073801.08493942,2023-06-28 17:19:07
106,BTCB,1017.75,BNB Smart Chain (BEP20),0x8894e0a0c962cb723c1976a4421c95949be2d4e3,30321.660756853802,30859870.235287957,2023-06-28 17:16:17
107,USDC,30000002.0,Polygon,0xf977814e90da44bfa03b6295a0616a897441acec,1.000072916375962,30002189.491424695,2023-06-28 17:21:58
108,CHZ,400000000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.07403703779071535,29614815.11628614,2023-06-28 17:12:09
